"Book ID","Citation","Page","Tuning","Title"
"Miles","Krassen, 1974",38,"aEGBE","28th of January"
"Mel_Bay_1","Schmitz/Slater, 1994",81,"gCGCD","42-Pound Check"
"David","Brody, 1985",62,"gCGCD","8th of January"
"Ken_1","Perlman, 1979",30,"gCGCD","8th of January"
"Tim_2","Jumper, 1984",153,"gDGBD","8th of January"
"Dwight","Diller, Web",,"gDGBD","Abe's Retreat"
"Tim_2","Jumper, 1984",211,"gDGBD","Across the Western Ocean"
"David","Brody, 1985",18,"gCGCD","After the Battle of Aughrim"
"Bob","Carlin, 1983",9,"fCFCD","Ain't Gonna Get No Supper Here Tonight"
"Tim_2","Jumper, 1984",38,"gDGBD","Ain't Gonna Work Tomorrow"
"John","Burke, 1968",50,"gDGBD","Alabama Gal"
"Mel_Bay_1","Schmitz/Slater, 1994",115,"gDGBD","Alabama Jubilee"
"Tim_2","Jumper, 1984",234,"gDGBD","All the Good Times Are Past and Gone"
"Tim_2","Jumper, 1984",254,"gDGBD","Amazing Grace"
"Tim_2","Jumper, 1984",216,"gCGBD","Angelina Baker"
"Miles","Krassen, 1974",23,"gCGCD","Angeline"
"Tim_2","Jumper, 1984",148,"gCGCD","Angeline"
"Dan_2","Levenson, 2003",60,"gCGCD","Angeline the Baker"
"David","Brody, 1985",19,"gCGCD","Angeline the Baker"
"Dwight","Diller, Web",,"gDGCD","Angeline the Baker"
"Ken_2","Perlman, 1989",75,"gCGCD","Angeline the Baker"
"Ken_2","Perlman, 1989",88,"gCGCD","Angeline the Baker"
"Mel_Bay_2","Muller/Koehler, 1973",46,"gCGCD","Angeline the Baker"
"Ken_5","Perlman, 2004",38,"gCGCD","Angeline the Baker (octave up)"
"David","Brody, 1985",20,"gCGCD","Another Jig Will Do"
"Ken_3","Perlman, NA",7,"gCGCD","Archie Menzies"
"Art_1","Rosenbaum, 1981",59,"gCGBD","Arkansas Traveler"
"Art_2","Rosenbaum, 1968",50,"gCGBD","Arkansas Traveler"
"Brad_1","Leftwich, 1999",62,"gCGCD","Arkansas Traveler"
"Dan_2","Levenson, 2003",61,"gCGCD","Arkansas Traveler"
"David","Brody, 1985",20,"gCGCD","Arkansas Traveler"
"John","Burke, 1968",66,"gCGCD","Arkansas Traveler"
"Ken_2","Perlman, 1989",62,"gDGBD","Arkansas Traveler"
"Ken_5","Perlman, 2004",49,"gCGCD","Arkansas Traveler"
"Larry","Peterson, NA",61,"gCGCD","Arkansas Traveler"
"Mel_Bay_2","Muller/Koehler, 1973",66,"gCGCD","Arkansas Traveler"
"Miles","Krassen, 1974",72,"gCGCD","Arkansas Traveler"
"Tim_2","Jumper, 1984",149,"gCGCD","Arkansas Traveler"
"Wayne_2","Erbsen, 1995",32,"gCGCD","Arkansas Traveler"
"Mel_Bay_1","Schmitz/Slater, 1994",108,"gCGCD","Ashgrove, The"
"Mel_Bay_1","Schmitz/Slater, 1994",70,"gDGBD","Atholl Highlanders I, The"
"Mel_Bay_1","Schmitz/Slater, 1994",71,"gCGBD","Atholl Highlanders II, The"
"Tim_2","Jumper, 1984",192,"gDGBD","Auld Lang Syne"
"David","Brody, 1985",22,"gCGCD","Avalon Quickstep"
"Ken_1","Perlman, 1979",41,"gCGCD","Avalon Quickstep, The"
,,,,"Baby Mine (see Banjo Pickin' Girl)"
"Art_2","Rosenbaum, 1968",61,"gCGCD","Baby-O"
"Brad_1","Leftwich, 1999",16,"gDGBD","Baby-O"
"Brad_1","Leftwich, 1999",63,"gCGCD","Backstep Cindy"
"David","Brody, 1985",22,"gCGCD","Backstep Cindy"
"Miles","Krassen, 1974",71,"gCGCD","Backstep Cindy"
"Brad_1","Leftwich, 1999",64,"gCGCD","Backstep Cindy (Old Time)"
"Ken_1","Perlman, 1979",60,"gCGCD","Balleydesmond Polkas"
"Tim_2","Jumper, 1984",241,"gDGBD","Band Played On, The"
"Dwight","Diller, Web",,"gDGCD","Bangum"
"David","Brody, 1985",24,"gDGBD","Banish Misfortune"
"Ken_1","Perlman, 1979",83,"gCGCD","Banish Misfortune"
"Ken_5","Perlman, 2004",95,"gDGBD","Banjo Breakdown"
"Tim_2","Jumper, 1984",89,"gDGBD","Banjo Pickin' Girl"
"Mel_Bay_1","Schmitz/Slater, 1994",24,"gDGBD","Banjo Shuffle"
"Tim_2","Jumper, 1984",190,"gDGBD","Banks of O'Doon, The"
"Tim_2","Jumper, 1984",109,"gDGBD","Banks of the Ohio, The"
"David","Brody, 1985",24,"fCFCD","Barlow Knife"
"Dwight","Diller, Web",,"fCFCD","Barlow Knife"
"Dwight","Diller, Web",,"gDGBD","Barlow Knife"
"Miles","Krassen, 1974",49,"gDGBD","Barlow Knife"
"David","Brody, 1985",25,"gDGBD","Battle of Aughrim, The"
,,,,"Battle of New Orleans, The (see 8th of January)"
"Ken_3","Perlman, NA",2,"gCGCD","Bay of Fundy, The"
"Ken_5","Perlman, 2004",139,"gCGCD","Bay of Fundy, The"
"Dan_1","Levenson, 2000",11,"gDGBD","Beasties in the Sugar"
"Ken_5","Perlman, 2004",192,"gCGCD","Beaumont Rag"
"Tim_2","Jumper, 1984",119,"gDGBD","Been All Around this World"
"David","Brody, 1985",26,"gDGCD","Bee's Wing Hornpipe"
"Ken_3","Perlman, NA",4,"gDGCD","Bee's Wing Hornpipe"
"Ken_1","Perlman, 1979",80,"gDGCD","Behind the Bush in the Garden"
"Mel_Bay_1","Schmitz/Slater, 1994",143,"gCGCD","Behind the Bush in the Garden"
"Mel_Bay_1","Schmitz/Slater, 1994",22,"gDGBD","Bethel Street Reel, The"
"Miles","Krassen, 1974",33,"gDGCD","Betsy Likens"
"David","Brody, 1985",26,"gDGCD","Betty Liken"
"Tim_2","Jumper, 1984",40,"gDGBD","Big Ball's in Town"
"Larry","Peterson, NA",53,"gCGCD","Big Cat Little Cat"
"Ken_3","Perlman, NA",9,"gDGBD","Big John MacNeil"
"Dwight","Diller, Web",,"gDGBD","Big Scioto"
"Bob","Carlin, 1983",13,"eBEBC#","Big Scioty"
"David","Brody, 1985",28,"fCFCD","Big Scioty, The"
"Brad_1","Leftwich, 1999",17,"gDGBD","Big-Eyed Rabbit"
,,,,"Bile Dem Cabbage (see Boil Them ...)"
"Tim_2","Jumper, 1984",244,"gDGBD","Bill Bailey"
"David","Brody, 1985",28,"gDGBD","Bill Cheatham"
"John","Burke, 1968",24,"gDGBD","Bill Cheatham"
"Ken_2","Perlman, 1989",65,"gDGBD","Bill Cheatham"
"Ken_2","Perlman, 1989",115,"gDGBD","Bill Cheatham"
"Larry","Peterson, NA",27,"gDGBD","Bill Cheatham"
"Tim_2","Jumper, 1984",150,"gDGBD","Bill Cheatham"
"Ken_2","Perlman, 1989",164,"gCGCE","Billy in the Lowground"
"Miles","Krassen, 1974",64,"gCGCD","Billy in the Lowground"
"Mel_Bay_1","Schmitz/Slater, 1994",136,"gDGBD","Billy Malley Schottishe"
"Dan_1","Levenson, 2000",12,"gDGBD","Bitter Creek"
"Art_1","Rosenbaum, 1981",83,"gCGBD","Black Eyed Susie"
"Art_2","Rosenbaum, 1968",42,"gCGCD","Black Eyed Susie"
"Miles","Krassen, 1974",20,"gCGCD","Black Eyed Susie"
"Tim_2","Jumper, 1984",83,"gCGCD","Black Eyed Susie"
"Ken_5","Perlman, 2004",188,"gDGBD","Black Hoe, The"
"Ken_3","Perlman, NA",11,"gDGCD","Black Mill, The"
"Ken_5","Perlman, 2004",181,"gDGCD","Black Mill, The"
"David","Brody, 1985",33,"gDGCD","Black Nag, The"
"Tim_2","Jumper, 1984",48,"gDGBD","Black Velvet Band, The"
"Ken_5","Perlman, 2004",80,"gCGCD","Black Velvet Waltz"
"Dan_1","Levenson, 2000",14,"gCGCD","Black Widow Romp"
"John","Burke, 1968",84,"gDGCD","Blackberry Blossom"
"Ken_1","Perlman, 1979",50,"gDGBD","Blackberry Blossom"
"Mel_Bay_1","Schmitz/Slater, 1994",87,"gDGBD","Blackberry Blossom"
"Brad_1","Leftwich, 1999",18,"gDGBD","Blackest Crow, The"
"John","Burke, 1968",41,"gCGCD","Blackeyed Suzan"
"Ken_1","Perlman, 1979",82,"gDGBD","Blarney Pilgrim, The"
"Mel_Bay_1","Schmitz/Slater, 1994",58,"gDGCD","Blarney Pilgrim, The"
"Tim_2","Jumper, 1984",199,"gDGBD","Blow the Man Down"
"Tim_2","Jumper, 1984",214,"gDGBD","Blow Ye Winds"
,,,,"Blue Eyed Gal (see Fly Around, My ...)"
"Tim","Jumper, 1977",13,"gDGBD","Blue Tail Fly"
"David","Brody, 1985",33,"gDGCD","Boatin' up Sandy"
"Ken_2","Perlman, 1989",99,"gCGBD","Boatin' up Sandy"
"Dwight","Diller, Web",,"gDGBD","Boatman"
"Ken_1","Perlman, 1979",20,"gDGBD","Boatman"
"Larry","Peterson, NA",24,"gDGBD","Boatsman"
"Miles","Krassen, 1974",56,"gDGBD","Boatsman"
"Bob","Carlin, 1983",10,"fA#FCD","Bob Carlin's Dream"
"Tim","Jumper, 1977",17,"gDGBD","Boil Them Cabbage Down"
"Tim_2","Jumper, 1984",46,"gDGBD","Boil Them Cabbage Down"
"David","Brody, 1985",34,"gCGCD","Bonaparte Crossing the Rhine"
"Mel_Bay_1","Schmitz/Slater, 1994",21,"gCGBD","Bonaparte Crossing the Rhine"
"Mel_Bay_1","Schmitz/Slater, 1994",30,"gDGCD","Bonaparte Crossing the Rhine"
"Ken_2","Perlman, 1989",76,"gCGCD","Bonaparte's Retreat"
"Miles","Krassen, 1974",47,"gDGBD","Boogerman"
"Dan_1","Levenson, 2000",15,"gDGBD","Booth Shot Lincoln"
"Ken_2","Perlman, 1989",137,"gDGBD","Bosco Stomp, The"
,,,,"Boston Polka (see Dennis Murphy's Polka)"
"Tim_2","Jumper, 1984",117,"gDGBD","Bound to Ride"
"Bob","Carlin, 1983",14,"gCGCD","Box the Fox"
"Ken_4","Perlman, 1996",17,"gCGCD","Boys of Blue Hill, The"
"David","Brody, 1985",35,"gCGCD","Boys of Bluehill, The"
"Mel_Bay_1","Schmitz/Slater, 1994",121,"gCGCD","Braes of Mar, The"
"Brad_1","Leftwich, 1999",65,"gCGCD","Bravest Cowboy, The"
"Brad_1","Leftwich, 1999",20,"gDGBD","Breaking Up Christmas"
"David","Brody, 1985",35,"gDGBD","Breaking up Christmas"
"Bob","Carlin, 1983",11,"fA#FCD","Briar Picker Brown"
"Dan_1","Levenson, 2000",16,"gCGCD","Briar Picker Brown"
"David","Brody, 1985",36,"gCGCD","Briarpicker Brown"
"Art_2","Rosenbaum, 1968",74,"gDGBD","Brickyard Joe"
"Tim","Jumper, 1977",32,"gDGBD","Brown Eyes"
"Miles","Krassen, 1974",58,"gDGBD","Brown's Dream"
"Ken_2","Perlman, 1989",56,"gDGBD","Brown's Ferry Blues, The"
"Art_1","Rosenbaum, 1981",57,"gDGCD","Buck Creek Girls"
"John","Burke, 1968",60,"gDGBD","Buck Creek Girls"
"Brad_1","Leftwich, 1999",50,"gDGBD","Buffalo Gals"
"Ken_5","Perlman, 2004",28,"gDGBD","Buffalo Gals"
"Tim","Jumper, 1977",37,"gDGBD","Buffalo Gals"
"Tim_2","Jumper, 1984",140,"gDGBD","Buffalo Gals"
"Wayne_1","Erbsen, 2004",49,"gDGBD","Buffalo Gals"
"Tim_2","Jumper, 1984",110,"gDGA#D","Buffalo Skinners"
"David","Brody, 1985",37,"gDGCD","Bull at the Wagon"
"David","Brody, 1985",39,"gDGA#D","Bunch of Keys I, The"
"David","Brody, 1985",39,"gDGBD","Bunch of Keys II, The"
"Ken_2","Perlman, 1989",133,"gCGCD","Bunch of Rushes"
"Tim_2","Jumper, 1984",56,"gDGBD","Bungle Rye"
"Mel_Bay_1","Schmitz/Slater, 1994",57,"gCGCD","Burnt Old Man, The"
"Art_2","Rosenbaum, 1968",44,"gDGCD","Butcher's Boy, The"
"Tim_2","Jumper, 1984",251,"gDGBD","By the Light of the Silvery Moon"
"John","Burke, 1968",29,"gDGBD","Calahan"
"Mel_Bay_2","Muller/Koehler, 1973",48,"gCGCE","Caledonia"
"Mel_Bay_2","Muller/Koehler, 1973",51,"gCGCD","Callahan"
"Tim_2","Jumper, 1984",60,"gDGBD","Calton Weaver, The"
"David","Brody, 1985",40,"gDGCD","Campbell's Farewell to Red Gap"
"Ken_1","Perlman, 1979",55,"gDGBD","Campbell's Farewell to Red Gap"
"Tim","Jumper, 1977",30,"gDGBD","Camptown Races, The"
"Tim_2","Jumper, 1984",217,"gDGBD","Camptown Races, The"
"Tim_2","Jumper, 1984",146,"gDGBD","Can't You Dance the Polka?"
"Tim_2","Jumper, 1984",112,"gDGBD","Captain Kidd"
"Ken_2","Perlman, 1989",52,"gDGBD","Careless Love"
"Tim_2","Jumper, 1984",123,"gDGBD","Careless Love"
"David","Brody, 1985",41,"gCGCD","Carolan's Concerto"
"Tim_2","Jumper, 1984",237,"gDGBD","Carry Me Back to Old Virginny"
"John","Burke, 1968",63,"gCGCE","Casey Jones"
"Ken_1","Perlman, 1979",85,"gDGCD","Chamberlain Road"
"Tim_2","Jumper, 1984",274,"aDFAD","Chanuke, O Chanuke"
"John","Burke, 1968",79,"gCGCE","Charleston"
"Art_1","Rosenbaum, 1981",49,"gDGBD","Charming Molly Branigan"
"David","Brody, 1985",42,"gCGCD","Cherish the Ladies"
"David","Brody, 1985",43,"gDGBD","Cherokee Shuffle"
"Ken_1","Perlman, 1979",47,"gDGBD","Cherokee Shuffle"
"Larry","Peterson, NA",65,"gCGCD","Cherokee Shuffle"
"Ken_5","Perlman, 2004",52,"gCGCD","Chicken Polka"
"Mel_Bay_2","Muller/Koehler, 1973",17,"gDGBD","Chicken Reel"
"Wayne_2","Erbsen, 1995",35,"gCGCD","Chicken Reel"
"David","Brody, 1985",45,"gCGCD","Chief O'Neill's Favorite"
"Art_2","Rosenbaum, 1968",49,"gDGBD","Chilly Winds"
"Bob","Carlin, 1983",16,"eEEG#B","Chilly Winds"
"Brad_1","Leftwich, 1999",22,"gDGBD","Chilly Winds"
"John","Burke, 1968",42,"gDGCD","Chinkapin Pie"
"Ken_2","Perlman, 1989",143,"gDGCD","Chinquapin Pie"
"Ken_5","Perlman, 2004",102,"gCGCD","Chorus Jig"
"Ken_2","Perlman, 1989",167,"gCGCD","Chorus Reel"
"Mel_Bay_1","Schmitz/Slater, 1994",100,"gCGCD","Christmas Day Ida Moarnin'"
"Ken_5","Perlman, 2004",84,"gDGBD","Christmas Day In The Morning"
,,,,"Cider (see Stillhouse)"
"Miles","Krassen, 1974",25,"gCGCD","Cider Mill"
"David","Brody, 1985",45,"gCGCD","Cindy"
"Tim_2","Jumper, 1984",84,"gDGBD","Cindy"
"Ken_1","Perlman, 1979",67,"gCGCD","Clara's Hornpipe"
"Mel_Bay_1","Schmitz/Slater, 1994",60,"gDGCD","Cliffs of Moher"
"Bob","Carlin, 1983",18,"gDGBD","Clinch Mountain Backstep"
"Ken_1","Perlman, 1979",46,"gDGCD","Clinch Mountain Backstep"
"Art_2","Rosenbaum, 1968",47,"gDGBD","Cluck Old Hen"
"Brad_1","Leftwich, 1999",23,"gDGBD","Cluck Old Hen"
"David","Brody, 1985",46,"gDGCD","Cluck Old Hen"
"Dwight","Diller, Web",,"gDGBD","Cluck Old Hen"
"John","Burke, 1968",26,"gDGCD","Cluck Old Hen"
"Ken_2","Perlman, 1989",74,"gDGCD","Cluck Old Hen"
"Larry","Peterson, NA",45,"gDGCD","Cluck Old Hen"
"Mel_Bay_2","Muller/Koehler, 1973",25,"gDGCD","Cluck Old Hen"
"Miles","Krassen, 1974",29,"gDGCD","Cluck Old Hen"
"Tim_2","Jumper, 1984",138,"gDGCD","Cluck Old Hen"
"Wayne_1","Erbsen, 2004",37,"gDGCD","Cluck Old Hen"
"Wayne_2","Erbsen, 1995",38,"gDGCD","Cluck Old Hen"
"Tim_2","Jumper, 1984",151,"f#DF#AD","Coal Creek March"
"Mel_Bay_1","Schmitz/Slater, 1994",120,"gCGCD","Cold Blow and the Rainy Night"
"Larry","Peterson, NA",43,"gDGCD","Cold Frosty Morning"
"Mel_Bay_1","Schmitz/Slater, 1994",90,"gCGCD","Coleman's Cross"
"David","Brody, 1985",46,"gDGA#D","Coleraine"
"Ken_4","Perlman, 1996",23,"gDGCD","Coleraine"
"David","Brody, 1985",47,"gDGBD","Colored Aristocracy"
"John","Burke, 1968",87,"gDGBD","Colored Aristocracy"
"Ken_1","Perlman, 1979",43,"gDGBD","Colored Aristocracy"
"Larry","Peterson, NA",21,"gDGBD","Colored Aristocracy"
"Mel_Bay_1","Schmitz/Slater, 1994",78,"gDGBD","Colored Aristocracy"
"Tim_2","Jumper, 1984",152,"gDGBD","Colored Aristocracy"
"David","Brody, 1985",47,"gCGCD","Come Dance and Sing"
"Mel_Bay_1","Schmitz/Slater, 1994",69,"gCGCD","Come Dance and Sing"
"Mel_Bay_1","Schmitz/Slater, 1994",38,"gDGBD","Come Life, Shaker Life"
"Ken_3","Perlman, NA",5,"gDGBD","Come under my Plaidie"
"David","Brody, 1985",48,"gDGCD","Congress Reel"
"David","Brody, 1985",48,"gCGCD","Connaughtman's Rambles, The"
"Mel_Bay_1","Schmitz/Slater, 1994",38,"gDGCD","Consolation"
"John","Burke, 1968",43,"gDGCD","Coo-Coo, The"
"Tim_2","Jumper, 1984",130,"gDGA#D","Coo-Coo, The"
"Larry","Peterson, NA",38,"gDGBD","Coo-Coo's Nest"
"David","Brody, 1985",49,"gDGBD","Cooley's Reel"
"Ken_5","Perlman, 2004",70,"gDGBD","Cooley's Reel"
"Art_1","Rosenbaum, 1981",56,"gDGCD","Cottage in the Grove"
"Brad_1","Leftwich, 1999",24,"gDGBD","Cotton Eyed Joe"
"David","Brody, 1985",49,"gDGBD","Cotton Eyed Joe"
"Larry","Peterson, NA",35,"gDGBD","Cotton Eyed Joe"
"Tim_2","Jumper, 1984",97,"gDGBD","Cotton Eyed Joe"
"Wayne_1","Erbsen, 2004",48,"gDGBD","Cotton Eyed Joe"
"Tim_2","Jumper, 1984",185,"gDGBD","Coulter's Candy"
"Art_1","Rosenbaum, 1981",77,"f#CGAD","Country Blues"
"Larry","Peterson, NA",72,"f#DF#AD","Country Blues"
"Ken_5","Perlman, 2004",178,"gCGCD","Country Waltz"
"Mel_Bay_1","Schmitz/Slater, 1994",36,"gDGCD","County Down Waltz"
"Tim","Jumper, 1977",15,"gDGBD","Crawdad"
"Tim_2","Jumper, 1984",122,"gDGBD","Crawdad"
"Mel_Bay_1","Schmitz/Slater, 1994",65,"gDGCD","Creel of Turf"
"Brad_1","Leftwich, 1999",25,"gDGBD","Cripple Creek"
"David","Brody, 1985",50,"gDGBD","Cripple Creek"
"Ken_1","Perlman, 1979",18,"gDGBD","Cripple Creek"
"Larry","Peterson, NA",14,"gDGBD","Cripple Creek"
"Mel_Bay_2","Muller/Koehler, 1973",33,"gDGBD","Cripple Creek"
"Pete","Seeger, 1962",30,"gDGBD","Cripple Creek"
"Tim","Jumper, 1977",27,"gDGBD","Cripple Creek"
"Tim_2","Jumper, 1984",26,"gDGBD","Cripple Creek"
"Wayne_1","Erbsen, 2004",46,"gDGBD","Cripple Creek"
"Ken_5","Perlman, 2004",78,"gDGBD","Crooked Stovepipe"
"Tim_2","Jumper, 1984",180,"gDGBD","Cruise of the Calibar, The"
"Ken_2","Perlman, 1989",163,"gDGCD","Cuckoo, The"
"David","Brody, 1985",51,"gCGCD","Cuckoo's Nest"
"Brad_1","Leftwich, 1999",99,"f#BEAD","Cumberland Gap"
"John","Burke, 1968",31,"gDGCD","Cumberland Gap"
"Larry","Peterson, NA",39,"fDGCD","Cumberland Gap"
"Larry","Peterson, NA",16,"gDGBD","Cumberland Gap"
"Miles","Krassen, 1974",46,"gEADE","Cumberland Gap"
"Tim_2","Jumper, 1984",27,"gDGBD","Cumberland Gap"
"Wayne_1","Erbsen, 2004",53,"fDGCD","Cumberland Gap"
"Pete","Seeger, 1962",34,"gCGBD","Cumberland Mountain Bear Chase, The"
"Wayne_1","Erbsen, 2004",28,"gCGCD","Cumberland Mountain Deer Chase"
"Tim_2","Jumper, 1984",230,"gDGBD","Daisy"
"David","Brody, 1985",53,"fCFCD","Dance All Night"
"Art_2","Rosenbaum, 1968",68,"f#DGAD","Danville Girl"
"Wayne_1","Erbsen, 2004",41,"gDGCD","Darlin' Corey"
"Ken_5","Perlman, 2004",78,"gDGBD","Darlin' Nellie Gray"
"Pete","Seeger, 1962",22,"f#DF#AD","Darling Corey"
"Brad_1","Leftwich, 1999",26,"gDGBD","Darling Nellie Gray"
"Tim_2","Jumper, 1984",231,"gDGBD","Darling Nellie Gray"
"Ken_5","Perlman, 2004",180,"gDGBD","Dashing White Sergeant, The"
"Mel_Bay_2","Muller/Koehler, 1973",60,"gCGCD","Davy"
"Mel_Bay_2","Muller/Koehler, 1973",17,"gDGBD","Davy"
"Bob","Carlin, 1983",19,"gCGCD","Davy Davy"
"Dwight","Diller, Web",,"fCFCD","Dead Man's Piece"
"Tim_2","Jumper, 1984",282,"gDGBD","Deck the Hall"
"Ken_2","Perlman, 1989",107,"gCGCD","Dennis Murphy's Polka"
"Mel_Bay_1","Schmitz/Slater, 1994",81,"gCGCD","Dennis Murphy's Polka"
"Ken_4","Perlman, 1996",25,"gCGCD","Dennis Murphy's Slide"
"Mel_Bay_1","Schmitz/Slater, 1994",34,"gDGCD","Dermot O'Dowd"
"Ken_3","Perlman, NA",20,"gDGBD","Devil in the Kitchen"
"Ken_2","Perlman, 1989",118,"eDGBD","Devil's Dream"
"Mel_Bay_1","Schmitz/Slater, 1994",17,"gDGBD","Devil's Dream"
"Tim_2","Jumper, 1984",82,"gDGBD","Dicey Riley"
"Ken_5","Perlman, 2004",191,"gDGBD","Dill Pickle Rag, The"
"Dwight","Diller, Web",,"gCGCD","Dinah"
"Ken_5","Perlman, 2004",181,"gDGBD","Dinah"
"Miles","Krassen, 1974",63,"gDGBD","Dinah"
"Ken_5","Perlman, 2004",143,"gDGBD","Dismissal, The"
"Tim_2","Jumper, 1984",28,"gDGBD","Dixie"
"Dan_1","Levenson, 2000",17,"gCGCD","Doctor Doctor"
"Mel_Bay_1","Schmitz/Slater, 1994",93,"gCGCD","Doctor O'Neil's"
,,,,"Dog Eat a .. (see Rye Straw)"
"Bob","Carlin, 1983",20,"gDGBD","Dog on the Carport"
"Ken_5","Perlman, 2004",88,"gDGBD","Don MacLean's Farewell to Oban"
"David","Brody, 1985",57,"gCGCD","Don Tremaine's Reel"
"Ken_2","Perlman, 1989",169,"gCGCD","Don Tremain's Reel"
"Ken_5","Perlman, 2004",108,"gDGBD","Dona Nobis Pacem"
"Mel_Bay_1","Schmitz/Slater, 1994",122,"gCGCD","Donald Blue"
"David","Brody, 1985",55,"gDGBD","Donald Cameron's Polka"
"Ken_2","Perlman, 1989",161,"gDGBD","Done Gone"
"Art_1","Rosenbaum, 1981",91,"gDGBD","Don't Let Your Deal Go Down"
"Art_2","Rosenbaum, 1968",67,"gCGBD","Don't Let Your Deal Go Down"
"Ken_2","Perlman, 1989",55,"gDGBD","Don't Let Your Deal Go Down"
"David","Brody, 1985",58,"gDGBD","Double File"
"Mel_Bay_1","Schmitz/Slater, 1994",51,"gDGBD","Double File"
"Tim","Jumper, 1977",32,"gDGBD","Down in the Valley"
"Tim_2","Jumper, 1984",29,"gDGBD","Down in the Valley"
"Wayne_1","Erbsen, 2004",30,"gCGCD","Down in the Willow Gardens"
"Tim_2","Jumper, 1984",142,"gDGBD","Down the Road"
"Tim_2","Jumper, 1984",66,"gDGBD","Drink it up, Men"
"David","Brody, 1985",58,"gDGBD","Drowsy Maggie"
"Ken_4","Perlman, 1996",30,"gDGBD","Drowsy Maggy"
"Mel_Bay_1","Schmitz/Slater, 1994",31,"gDGBD","Drowsy Maggy"
"David","Brody, 1985",59,"gDGBD","Drunken Billy Goat"
"Art_1","Rosenbaum, 1981",19,"gCGCD","Dry and Dusty"
"Ken_1","Perlman, 1979",27,"gCGCD","Dry and Dusty"
"David","Brody, 1985",60,"gCGCD","Dubuque"
"Dan_1","Levenson, 2000",18,"gCGCD","Duck River"
"Brad_1","Leftwich, 1999",66,"gCGCD","Ducks on the Millpond"
"David","Brody, 1985",60,"gCGCD","Ducks on the Millpond"
"John","Burke, 1968",49,"gCGCD","Ducks on the Millpond"
"Ken_2","Perlman, 1989",146,"gCGCD","Ducks on the Millpond"
"Ken_5","Perlman, 2004",16,"gDGCD","Ducks on the Pond"
"Miles","Krassen, 1974",32,"gDGCD","Ducks on the Pond"
"Ken_5","Perlman, 2004",113,"gDGCD","Dudanota (Hungarian Piping Tune)"
"Ken_5","Perlman, 2004",53,"gDGBD","Duke of Perth, The"
"David","Brody, 1985",61,"gCGCD","Durang's Hornpipe"
"Ken_5","Perlman, 2004",90,"gDGBD","Earl's Jig"
"David","Brody, 1985",61,"gDGBD","East Neuk of Fife"
"Mel_Bay_1","Schmitz/Slater, 1994",43,"gDGCD","East Virginia"
"Pete","Seeger, 1962",36,"gDGCD","East Virginia"
"Wayne_1","Erbsen, 2004",32,"gDGCD","East Virginia"
"David","Brody, 1985",62,"gDGBD","Ebenezer"
"Mel_Bay_1","Schmitz/Slater, 1994",122,"gDGBD","Ebenezer"
"Miles","Krassen, 1974",42,"gDGBD","Ebenezer"
"Ken_4","Perlman, 1996",21,"gDGBD","Elsie Marley"
"David","Brody, 1985",63,"gDGCD","Elzic's Farewell"
"Dwight","Diller, Web",,"gDGCD","Elzic's Farewell"
"Miles","Krassen, 1974",39,"gDGCD","Elzic's Farewell"
"Tim_2","Jumper, 1984",30,"gDGBD","Erie Canal, The"
"David","Brody, 1985",64,"gCGCD","Fairy Dance"
"Mel_Bay_1","Schmitz/Slater, 1994",120,"gCGCD","Fairy Dance"
"Brad_1","Leftwich, 1999",67,"gCGCD","Fall on My Knees"
