"Book ID","Citation","Page","Tuning","Title"
"Bob","Carlin, 1983",22,"gDGCD","Falls of Richmond"
"David","Brody, 1985",64,"gDGCD","Falls of Richmond"
"Ken_5","Perlman, 2004",178,"gDGBD","Far From Home"
"Ken_3","Perlman, NA",6,"gCGCD","Farewell to Killikrankie"
"Tim_2","Jumper, 1984",191,"gDGBD","Farewell to Tarwathie"
"Ken_1","Perlman, 1979",59,"gDGBD","Farewell to Whiskey"
"Mel_Bay_1","Schmitz/Slater, 1994",19,"gDGBD","Farewell to Whiskey"
"Mel_Bay_1","Schmitz/Slater, 1994",97,"gDGBD","Farewell to Whiskey"
"Ken_3","Perlman, NA",17,"gDGBD","Farmer's Reel"
"Ken_1","Perlman, 1979",73,"gDGBD","Farrell O'Gara's Favorite"
"Mel_Bay_2","Muller/Koehler, 1973",75,"gCGCE","Fause Knight Upon the Road"
"David","Brody, 1985",65,"gCGCD","Fiddle Head Reel"
"Ken_2","Perlman, 1989",120,"gCGCD","Fiddler's Reel"
"Brad_1","Leftwich, 1999",28,"gDGBD","Fire on the Mountain"
"Mel_Bay_1","Schmitz/Slater, 1994",30,"gDGCD","First of May, The"
"Brad_1","Leftwich, 1999",69,"gCGCD","Fisher's Hornpipe"
"David","Brody, 1985",66,"gCGCD","Fisher's Hornpipe"
"John","Burke, 1968",84,"gCGCD","Fisher's Hornpipe"
"Ken_4","Perlman, 1996",18,"gCGCD","Fisher's Hornpipe"
"Larry","Peterson, NA",37,"gDGBD","Fisher's Hornpipe"
"Miles","Krassen, 1974",66,"gCGCD","Fisher's Hornpipe"
"Wayne_2","Erbsen, 1995",44,"gCGCD","Fisher's Hornpipe"
"Ken_5","Perlman, 2004",160,"gCGBD","Fisher's Hornpipe (minstrel version)"
"Tim_2","Jumper, 1984",128,"gDGBD","Fishin' Blues"
"Ken_2","Perlman, 1989",68,"gCGBD","Flop Eared Mule"
"Larry","Peterson, NA",57,"gCGCD","Flop Eared Mule"
"Mel_Bay_1","Schmitz/Slater, 1994",51,"gDGBD","Flop Eared Mule"
"Mel_Bay_2","Muller/Koehler, 1973",55,"gDGBD","Flop Eared Mule"
"Tim","Jumper, 1977",39,"gDGBD","Flop Eared Mule"
"David","Brody, 1985",69,"gDGBD","Flowers of Edinburgh"
"Ken_5","Perlman, 2004",186,"gDGBD","Flowers of Edinburgh"
"Mel_Bay_1","Schmitz/Slater, 1994",12,"gDGBD","Flowers of Edinburgh"
"Tim_2","Jumper, 1984",154,"gDGBD","Flowers of Edinburgh"
"Tim_2","Jumper, 1984",141,"gDGBD","Fly Around, My Pretty Little Miss"
"David","Brody, 1985",70,"gCGCD","Flying Cloud Cotillion"
"Ken_5","Perlman, 2004",18,"gDGBD","Flying Cloud Cotillion"
"Dan_1","Levenson, 2000",19,"gDGBD","Flying Indian"
"Ken_5","Perlman, 2004",98,"gDGBD","Foggy Clawhammer"
"Dan_1","Levenson, 2000",20,"gCGCD","Folding down the Sheets"
"David","Brody, 1985",70,"gCGCD","Folding down the Sheets"
"Tim_2","Jumper, 1984",240,"gDGBD","For He's a Jolly Good Fellow"
"Dan_1","Levenson, 2000",21,"gCGCD","Forked Deer"
"Dan_2","Levenson, 2003",62,"gCGCD","Forked Deer"
"David","Brody, 1985",71,"gCGCD","Forked Deer"
"John","Burke, 1968",36,"aCGCD","Forked Deer"
"John","Burke, 1968",35,"gCGCD","Forked Deer"
"Larry","Peterson, NA",67,"gCGCD","Forked Deer"
"Mel_Bay_1","Schmitz/Slater, 1994",25,"gCGCD","Forked Deer"
"Mel_Bay_1","Schmitz/Slater, 1994",141,"gCGCD","Forked Deer"
"Miles","Krassen, 1974",77,"gCGBD","Forked Deer"
"Brad_1","Leftwich, 1999",70,"gCGCD","Forkey Deer"
"John","Burke, 1968",34,"gDGBD","Forkey Deer"
"Brad_1","Leftwich, 1999",71,"gCGCD","Fortune"
"Dan_2","Levenson, 2003",63,"gCGCD","Fortune"
"David","Brody, 1985",72,"gCGCD","Fortune"
"Miles","Krassen, 1974",21,"gCGCD","Fortune"
"Tim_2","Jumper, 1984",136,"gDGBD","Fox, The"
"Ken_2","Perlman, 1989",179,"gCGCD","Foxhunter's Jig"
"Tim_2","Jumper, 1984",102,"gDGBD","Frankie and Johnny"
"Brad_1","Leftwich, 1999",97,"gDGBD#EF#BE","Frankie Baker"
"Art_2","Rosenbaum, 1968",34,"aDGCD","Frankie Was a Good Girl"
"Art_2","Rosenbaum, 1968",20,"gCGBD","Free Little Bird as I Can Be"
"Tim_2","Jumper, 1984",115,"gDGBD","Freight Train"
"Mel_Bay_1","Schmitz/Slater, 1994",67,"gCGCD","Frieze Breetches"
"Mel_Bay_2","Muller/Koehler, 1973",34,"gDGBD","From Jerusalem to Jericho"
"Mel_Bay_1","Schmitz/Slater, 1994",29,"aDGCE","Frost and Snow"
"Mel_Bay_1","Schmitz/Slater, 1994",139,"gCGCD","Frost Is All Over, The"
"Dwight","Diller, Web",,"gDGCD","Frosty Morn"
"David","Brody, 1985",73,"gDGCD","Frosty Morning"
"Ken_1","Perlman, 1979",29,"gDGCD","Frosty Morning"
"Miles","Krassen, 1974",36,"gDGCD","Frosty Morning"
"Bob","Carlin, 1983",23,"gDGBD","Garfield"
"Ken_2","Perlman, 1989",176,"gDGBD","Garry Owen"
"David","Brody, 1985",73,"gCGCD","Gaspe Reel"
"Ken_4","Perlman, 1996",14,"gCGCD","Gaspe Reel"
"Tim_2","Jumper, 1984",155,"gCGCD","Gaspe Reel"
"Ken_5","Perlman, 2004",125,"gDGBD","Gemstone Reel"
"Ken_5","Perlman, 2004",185,"gDGCD","George V's Army"
"John","Burke, 1968",48,"gDGBD","Georgia Railroad"
"Ken_1","Perlman, 1979",21,"gDGBD","Georgia Railroad"
"Mel_Bay_2","Muller/Koehler, 1973",72,"gDGBD","Georgia Railroad"
"John","Burke, 1968",73,"gCGCE","Georgia Waggoner"
"Ken_2","Perlman, 1989",50,"gDGBD","Georgie Buck"
"David","Brody, 1985",74,"gDGBD","Gillian's Reel"
"John","Burke, 1968",22,"gDGBD","Girl I Left behind Me, The"
"John","Burke, 1968",93,"gDGBD","Girl I Left behind Me, The"
"Mel_Bay_1","Schmitz/Slater, 1994",112,"gDGBD","Girl I Left behind Me, The"
"Tim_2","Jumper, 1984",72,"gDGBD","Girl I Left behind Me, The"
"Tim_2","Jumper, 1984",255,"gDGBD","Give Me that Old-Time Religion"
"David","Brody, 1985",75,"gDGBD","Give Me Your Hand"
"Tim_2","Jumper, 1984",246,"gDGBD","Give My Regards to Broadway"
"David","Brody, 1985",76,"fCFCD","Give the Fiddler a Dram"
"Mel_Bay_1","Schmitz/Slater, 1994",40,"gDGBD","Give the Fiddler a Dram"
"Mel_Bay_1","Schmitz/Slater, 1994",104,"gDGBD","Give the Fiddler a Dram"
"Ken_3","Perlman, NA",19,"gCGCD","Glen Coe March"
"Tim_2","Jumper, 1984",135,"gDGBD","Go Tell Aunt Rhody"
"Tim_2","Jumper, 1984",208,"gDGA#D","Go to Sea No More"
"Mel_Bay_1","Schmitz/Slater, 1994",135,"gDGCD","God Rest Ye Merry, Gentlemen"
"Tim_2","Jumper, 1984",281,"gDGA#D","God Rest Ye Merry, Gentlemen"
"Art_1","Rosenbaum, 1981",32,"gCGCD","Goin' Across the Sea"
"David","Brody, 1985",76,"gDGBD","Going down the River"
"Art_2","Rosenbaum, 1968",17,"gDGBD","Going down the Road Feeling Bad"
"Tim","Jumper, 1977",40,"gDGBD","Going down the Road Feeling Bad"
"Tim_2","Jumper, 1984",125,"gDGBD","Going down the Road Feeling Bad"
"David","Brody, 1985",77,"gDGBD","Gold Ring, The"
"David","Brody, 1985",76,"gCGCD","Golden Slippers"
"John","Burke, 1968",74,"gCGCD","Golden Slippers"
"Mel_Bay_1","Schmitz/Slater, 1994",104,"gDGBD","Golden Slippers"
"Tim_2","Jumper, 1984",236,"gDGBD","Golden Slippers"
"Tim_2","Jumper, 1984",283,"gDGBD","Good King Wenceslaus"
"Tim","Jumper, 1977",17,"gDGBD","Goodnight Ladies"
"Ken_2","Perlman, 1989",124,"gCGCD","Goose Hill"
"Dwight","Diller, Web",,"gCGCD","Gospel Plow"
"Art_1","Rosenbaum, 1981",80,"gGGAD","Got a Little Home to Go To"
"Mel_Bay_1","Schmitz/Slater, 1994",53,"gDGBD","Got a Little Home to Go To"
"Ken_4","Perlman, 1996",13,"gCGCD","Grand Old Dame Britannia"
"Ken_5","Perlman, 2004",133,"gDGBD","Grandfather's Clock"
"Tim_2","Jumper, 1984",228,"gDGBD","Grandfather's Clock"
"Ken_4","Perlman, 1996",31,"gDGCD","Gravel Walk, The"
"Brad_1","Leftwich, 1999",29,"gDGBD","Greasy String"
"Dwight","Diller, Web",,"gDGBD","Greasy String"
"David","Brody, 1985",78,"gDGBD","Great Big Taters in Sandy Land"
"Art_1","Rosenbaum, 1981",69,"gDGCD","Green Beds, The"
"Ken_4","Perlman, 1996",12,"gDGBD","Green Fields of America, The"
"Mel_Bay_1","Schmitz/Slater, 1994",137,"gDGBD","Green Meadows Reel, The"
"Mel_Bay_1","Schmitz/Slater, 1994",96,"gDGBD","Green Mountain Petronella"
"David","Brody, 1985",79,"gCGCD","Green Willis"
"Miles","Krassen, 1974",74,"gCGCD","Green Willis"
"Tim_2","Jumper, 1984",206,"gDGBD","Greenland Fisheries"
"Art_1","Rosenbaum, 1981",22,"gDGBD","Grey Eagle"
"Miles","Krassen, 1974",55,"gDGBD","Grey Eagle"
"Art_2","Rosenbaum, 1968",23,"gDGBD","Ground Hog"
"Brad_1","Leftwich, 1999",30,"gDGBD","Ground Hog"
"Wayne_1","Erbsen, 2004",26,"gCGCD","Ground Hog"
"David","Brody, 1985",81,"gDGCD","Growling Old Man and Woman, The"
"Ken_4","Perlman, 1996",27,"gDGCD","Growling Old Man and Woman, The"
"Art_1","Rosenbaum, 1981",31,"gCGCD","Grub Springs"
"Mel_Bay_2","Muller/Koehler, 1973",38,"gCGCE","Gwine Back to Dixie"
"Tim_2","Jumper, 1984",59,"gDGBD","Gypsy Davy"
"Art_1","Rosenbaum, 1981",27,"gDGCD","Had a Little Fight in Mexico"
"Ken_3","Perlman, NA",7,"gCGCD","Haggis, The"
"Tim_2","Jumper, 1984",212,"gDGBD","Handsome Cabin Boy, The"
"Tim_2","Jumper, 1984",85,"gDGBD","Handsome Molly"
"Wayne_1","Erbsen, 2004",51,"gDGBD","Handsome Molly"
"Dan_1","Levenson, 2000",22,"gDGBD","Hangman's Reel"
"Tim_2","Jumper, 1984",222,"gDGBD","Hard Times"
"Pete","Seeger, 1962",16,"gCGBD","Hard, Ain't It Hard"
"Tim","Jumper, 1977",18,"gDGBD","Hard, Ain't It Hard"
"Mel_Bay_1","Schmitz/Slater, 1994",142,"gCGCD","Hare in the Corn, The"
"Tim_2","Jumper, 1984",280,"gDGBD","Hark! The Herald Angels Sing"
"Art_1","Rosenbaum, 1981",57,"gDGCD","Harlan County Farewell Tune"
"Ken_5","Perlman, 2004",43,"gCGCD","Harvest Home Hornpipe"
"Ken_4","Perlman, 1996",21,"gCGCD","Haste to the Wedding"
"Tim_2","Jumper, 1984",196,"gDGBD","Haul Away, Joe"
"Tim_2","Jumper, 1984",273,"gDGBD","Hava Nagila"
"David","Brody, 1985",81,"gDGBD","Hawks and Eagles"
"Ken_3","Perlman, NA",16,"gDGBD","Heather on the Hill"
"Ken_5","Perlman, 2004",189,"gDGBD","Heather on the Hill"
"Mel_Bay_1","Schmitz/Slater, 1994",98,"gCGCD","Heather on the Moor"
"Tim_2","Jumper, 1984",197,"gDGBD","Heave Away, Me Johnny"
"Art_2","Rosenbaum, 1968",48,"eCGCD","Heavy Loaded Freight Train"
"Dan_1","Levenson, 2000",24,"gDGBD","Hell Among the Yearlings"
"Art_1","Rosenbaum, 1981",47,"gDGBD","Hell on the Wabash"
"Tim_2","Jumper, 1984",250,"gDGBD","Hello! Ma Baby"
"Tim_2","Jumper, 1984",172,"gDGBD","Hello, Patsy Fagan"
"Mel_Bay_1","Schmitz/Slater, 1994",109,"gDGBD","Hewlett, The"
"Tim_2","Jumper, 1984",62,"gDGBD","Hi for the Beggarman"
"Ken_3","Perlman, NA",21,"gDGBD","High Reel, The"
"Ken_5","Perlman, 2004",41,"gDGBD","High Reel, The"
"Mel_Bay_1","Schmitz/Slater, 1994",29,"gDGCD","Highway to Limerick"
"Art_2","Rosenbaum, 1968",24,"fDGCD","Hills of Mexico, The"
"Tim_2","Jumper, 1984",276,"eDGBD","Hinneh Mah Tov"
"David","Brody, 1985",82,"gCGCD","Hog Eye"
"Wayne_2","Erbsen, 1995",48,"gDGBD","Hogeye"
"Dwight","Diller, Web",,"gCGCD","Hold On"
"Tim_2","Jumper, 1984",32,"gDGBD","Home on the Range"
"Larry","Peterson, NA",49,"gCGBD","Home Sweet Home"
"Ken_5","Perlman, 2004",180,"gDGBD","Honeymoon Polka"
"Art_2","Rosenbaum, 1968",11,"gCGCD","Hook and Line"
,,,,"Hop High Ladies (see Ms McLeod's Reel)"
"Tim_2","Jumper, 1984",40,"gDGBD","Hot Corn, Cold Corn"
"Mel_Bay_2","Muller/Koehler, 1973",19,"gDGBD","Hound Dog Song, The"
"David","Brody, 1985",82,"fCGCD","Hull's Victory"
"Ken_5","Perlman, 2004",124,"gCGCD","Hull's Victory"
"Mel_Bay_1","Schmitz/Slater, 1994",102,"gCGCD","Hull's Victory"
"David","Brody, 1985",83,"gCGCD","Humours of Ballyconnell, The"
"Ken_2","Perlman, 1989",172,"gDGBD","Humours of Castle Comer, The"
"David","Brody, 1985",83,"gCGCD","Huntsman's Chorus"
"Tim_2","Jumper, 1984",256,"gDGBD","I Am a Pilgrim"
"Tim_2","Jumper, 1984",260,"gDGBD","I Can't Feel at Home in This World Anymore"
,,,,"I Wish I Was.. (see Mole in the Ground)"
"Mel_Bay_1","Schmitz/Slater, 1994",85,"gDGBD","Ice on the Pond"
"Bob","Carlin, 1983",24,"gDGBD","Icy Mountain"
"Brad_1","Leftwich, 1999",31,"gDGBD","Ida Red"
"Miles","Krassen, 1974",47,"gDGBD","Ida Red"
"Tim_2","Jumper, 1984",257,"gDGBD","I'll Fly Away"
"Tim_2","Jumper, 1984",58,"gDGBD","I'm a Rover"
"Tim_2","Jumper, 1984",242,"gDGBD","In the Good Old Summertime"
"Art_1","Rosenbaum, 1981",75,"f#DF#AD","In the Pines"
"Art_2","Rosenbaum, 1968",31,"f#DF#AD","In the Pines"
"Ken_5","Perlman, 2004",184,"gDGBD","Indian Nation"
"Bob","Carlin, 1983",25,"gDGBD","Indiana Breakdown"
"Tim","Jumper, 1977",41,"gDGBD","Irish Melody"
"Ken_2","Perlman, 1989",156,"gDGBD","Irish Washerwoman, The"
"David","Brody, 1985",84,"gDGBD","Iron Man, The"
"Tim_2","Jumper, 1984",213,"gDGBD","I's the B'y"
"Ken_5","Perlman, 2004",184,"gCGCD","Island Boy"
"Tim_2","Jumper, 1984",177,"gDGBD","Isn't It Grand, Boys?"
"Mel_Bay_1","Schmitz/Slater, 1994",126,"gDGBD","Jack Broke Da Prison Door"
"Ken_5","Perlman, 2004",113,"gDGBD","Jamaica Farewell"
"Ken_5","Perlman, 2004",123,"gDGCD","Janet Beaton"
"John","Burke, 1968",77,"gCGCD","Jay Bird"
"Ken_5","Perlman, 2004",15,"gCGCD","Jay Bird"
"David","Brody, 1985",84,"gCGCD","Jaybird"
"Mel_Bay_1","Schmitz/Slater, 1994",28,"gDGCD","Jenny Picking Cockles"
"Ken_5","Perlman, 2004",110,"gDGCD","Jentland Tune"
"Ken_2","Perlman, 1989",43,"gDGBD","Jesse James"
"Tim","Jumper, 1977",19,"gDGBD","Jesse James"
"Tim_2","Jumper, 1984",104,"gDGBD","Jesse James"
"Mel_Bay_1","Schmitz/Slater, 1994",112,"gCGCD","Jessica's Polka"
"Tim_2","Jumper, 1984",261,"gDGBD","Jesu, Joy of Man's Desiring"
"Ken_1","Perlman, 1979",33,"fCFCD","Jimmy in the Swamp"
"Dwight","Diller, Web",,"gDGBD","Jimmy Johnson"
"Tim_2","Jumper, 1984",278,"gDGBD","Jingle Bells"
"Pete","Seeger, 1962",32,"gDGAD","Jinny Git Around"
"Mel_Bay_2","Muller/Koehler, 1973",23,"gCGBD","John Booker"
"Mel_Bay_2","Muller/Koehler, 1973",43,"gCGBD","John Booker"
"Art_1","Rosenbaum, 1981",52,"aAAC#E","John Brown's Dream"
"Brad_1","Leftwich, 1999",94,"aAAC#E","John Brown's Dream"
"David","Brody, 1985",85,"gDGBD","John Brown's Dream"
"Dwight","Diller, Web",,"gDGBD","John Brown's March"
"Ken_2","Perlman, 1989",125,"gDGBD","John Brown's March"
"Ken_5","Perlman, 2004",83,"gDGBD","John Dan MacPherson's Jig"
"Brad_1","Leftwich, 1999",32,"gDGBD","John Hardy"
"Ken_2","Perlman, 1989",46,"gDGBD","John Hardy"
"Mel_Bay_2","Muller/Koehler, 1973",26,"gDGBD","John Hardy"
"Miles","Krassen, 1974",45,"gDGBD","John Hardy"
"Tim_2","Jumper, 1984",108,"gDGBD","John Hardy"
"Art_1","Rosenbaum, 1981",53,"aAAC#E","John Henry"
"Brad_1","Leftwich, 1999",33,"gDGBD","John Henry"
"John","Burke, 1968",23,"gCGCE","John Henry"
"John","Burke, 1968",86,"gCGCE","John Henry"
"Pete","Seeger, 1962",14,"gCGBD","John Henry"
"Pete","Seeger, 1962",33,"gCGBD","John Henry"
"Tim_2","Jumper, 1984",116,"gDGBD","John Henry"
"Wayne_2","Erbsen, 1995",53,"gDGBD","John Henry (Old-Time)"
"Dwight","Diller, Web",,"f#ADAD","John Henry Blues"
"Dwight","Diller, Web",,"gCGCD","John Lover's Gone"
"John","Burke, 1968",21,"gCGCD","John Lover's Gone"
,,,,"John Ryan's Polka (see Sean Ryan's ..)"
"Tim","Jumper, 1977",22,"gDGBD","Johnnie Booker"
"Tim","Jumper, 1977",34,"gDGBD","Johnnie Booker"
"Ken_3","Perlman, NA",10,"gDGCD","Johnny Cope"
"Mel_Bay_2","Muller/Koehler, 1973",59,"gDGCD","Johnny Has Gone for a Soldier"
"Mel_Bay_1","Schmitz/Slater, 1994",125,"gDGBD","Johnny Todd"
"Tim_2","Jumper, 1984",77,"gDGBD","Johnny Todd"
"John","Burke, 1968",27,"gCGCD","Johnson & Dickson"
"John","Burke, 1968",17,"gCGCD","Johnson Boys"
"Mel_Bay_2","Muller/Koehler, 1973",61,"gCGCD","Johnson Boys"
,,,,"Joke on the Puppy (see Rye Straw)"
"Tim_2","Jumper, 1984",41,"gDGBD","Jubilee"
"Ken_5","Perlman, 2004",118,"gDGBD","Judique Reel"
"Tim_2","Jumper, 1984",65,"gDGBD","Jug of Punch, The"
"Brad_1","Leftwich, 1999",38,"gDGBD","June Apple"
"David","Brody, 1985",87,"gDGBD","June Apple"
"Dwight","Diller, Web",,"gDGBD","June Apple"
"John","Burke, 1968",18,"gDGBD","June Apple"
"Ken_2","Perlman, 1989",63,"gDGBD","June Apple"
"Larry","Peterson, NA",29,"gDGBD","June Apple"
"Mel_Bay_2","Muller/Koehler, 1973",74,"gDGBD","June Apple"
"Tim","Jumper, 1977",43,"gDGBD","June Apple"
"Tim_2","Jumper, 1984",156,"gDGBD","June Apple"
"Tim_2","Jumper, 1984",266,"gDGBD","Just a Closer Walk with Thee"
"Ken_2","Perlman, 1989",141,"gDGBD","Kansas City Reel, The"
"Ken_2","Perlman, 1989",159,"gCGCD","Karis Pers Polska"
"Dan_1","Levenson, 2000",25,"gDGBD","Katy Hill"
"John","Burke, 1968",75,"gDGCD","Katy Hill"
"Tim_2","Jumper, 1984",43,"gDGBD","Keep My Skillet Good and Greasy"
"David","Brody, 1985",90,"gCGCD","Keep the Ark a-Movin'"
"Tim_2","Jumper, 1984",174,"gDGBD","Kelly, the Boy from Killane"
"Ken_1","Perlman, 1979",87,"gCGBD","Kemp's Jig"
"David","Brody, 1985",91,"gDGBD","Kesh Jig"
"Mel_Bay_1","Schmitz/Slater, 1994",60,"gDGBD","Kesh Jig"
"Art_1","Rosenbaum, 1981",14,"gCGBD","Kicking Mule"
"Mel_Bay_2","Muller/Koehler, 1973",37,"gDGBD","King-Kong Kitchie Ki-Me-O"
"Mel_Bay_1","Schmitz/Slater, 1994",42,"gCGCD","Kiowa Special"
"David","Brody, 1985",91,"gDGCD","Kitchen Girl"
"Dwight","Diller, Web",,"gDGBD","Kitchen Girl"
"Ken_1","Perlman, 1979",38,"gDGCD","Kitchen Girl"
"Miles","Krassen, 1974",31,"gDGCD","Kitchen Girl"
"Brad_1","Leftwich, 1999",39,"gDGBD","Kitty Clyde"
"David","Brody, 1985",92,"gCGCD","Kitty McGee"
"Ken_2","Perlman, 1989",127,"gCGCD","Kitty's Wedding"
"Mel_Bay_1","Schmitz/Slater, 1994",75,"gCGCD","Knole Park"
"Tim_2","Jumper, 1984",259,"gDGBD","Kum Ba Yah"
"David","Brody, 1985",25,"gCGCD","La Bastringue"
"Ken_5","Perlman, 2004",96,"gDGBD","Ladies on a Steamboat"
"Bob","Carlin, 1983",26,"fCFCD","Ladies on the Steamboat"
"Pete","Seeger, 1962",37,"eGDBD","Lady Gay"
"Mel_Bay_1","Schmitz/Slater, 1994",19,"gCGCD","Lady Montgomery"
"Mel_Bay_1","Schmitz/Slater, 1994",79,"gDGBD","Lady of the Lake"
"Ken_5","Perlman, 2004",86,"gDGBD","Laird o'Drumblair, The"
"Ken_1","Perlman, 1979",64,"gDGBD","Lamplighter's Hornpipe, The"
"Mel_Bay_1","Schmitz/Slater, 1994",127,"gDGBD","Lamplighter's Reel"
"David","Brody, 1985",93,"gCGCD","Langstrom's Pony"
"Ken_5","Perlman, 2004",20,"gCGCD","Lass o'Gowrie"
"Ken_5","Perlman, 2004",116,"fDFCD","Last Chance"
"Ken_2","Perlman, 1989",92,"f#DF#AD","Last Cold Whiskey, The"
,,,,"Last Three Drops (see West Virginia Girls)"
"Bob","Carlin, 1983",27,"fCFCD","Last Time, The"
"John","Burke, 1968",45,"gDGBD","Leather Breeches"
"John","Burke, 1968",46,"gDGBD","Leather Breeches"
"David","Brody, 1985",94,"fCFCD","Leather Britches"
"Wayne_2","Erbsen, 1995",60,"fDGCD","Leather Britches"
"Wayne_2","Erbsen, 1995",59,"gDGBD","Leather Britches"
"Ken_5","Perlman, 2004",58,"gDGBD","Leavin' Home"
"Tim_2","Jumper, 1984",202,"gDGBD","Leaving of Liverpool, The"
"Ken_5","Perlman, 2004",75,"gCGCD","Leeds Hornpipe, The"
"Tim_2","Jumper, 1984",176,"gDGBD","Let Erin Remember"
"Brad_1","Leftwich, 1999",40,"gDGBD","Let Me Fall"
"Ken_5","Perlman, 2004",32,"gCGCD","Levantine's Barrel"
"Art_1","Rosenbaum, 1981",20,"gCGCD","Liberty"
"David","Brody, 1985",95,"gCGCD","Liberty"
"John","Burke, 1968",37,"gCGCD","Liberty"
"Ken_2","Perlman, 1989",97,"gCGCD","Liberty"
"Larry","Peterson, NA",64,"gCGCD","Liberty"
"Mel_Bay_2","Muller/Koehler, 1973",83,"gCGCD","Liberty"
"Mel_Bay_1","Schmitz/Slater, 1994",39,"gDGA#D","Lincoln Street Blues"
,,,,"Lincoln's Gunboate (see Year of Jubilo)"
"Ken_1","Perlman, 1979",62,"gCGCD","Linnet, The"
"Ken_4","Perlman, 1996",15,"gDGBD","Little Beggarman"
,,,,"Little Beggarman (see Red Haired Boy)"
"Art_1","Rosenbaum, 1981",67,"eCGAD","Little Birdie"
"Art_2","Rosenbaum, 1968",39,"eCGAD","Little Birdie"
"Mel_Bay_2","Muller/Koehler, 1973",35,"gDGBD","Little Birdie"
"Tim","Jumper, 1977",24,"gDGBD","Little Birdie"
"Tim_2","Jumper, 1984",134,"gCGBD","Little Birdie"
"Wayne_1","Erbsen, 2004",23,"gCGCD","Little Birdie"
"Tim_2","Jumper, 1984",67,"gDGBD","Little Brown Jug"
"Dan_1","Levenson, 2000",27,"gDGBD","Little Dutch Girl"
"Tim_2","Jumper, 1984",92,"gDGBD","Little Liza Jane"
"Brad_1","Leftwich, 1999",41,"gDGBD","Little Maggie"
"Tim_2","Jumper, 1984",86,"gDGCD","Little Maggie"
"Mel_Bay_2","Muller/Koehler, 1973",62,"gCGCD","Little Old Log Cabin in the Lane, The"
"David","Brody, 1985",96,"gDGBD","Little Rabbit"
"John","Burke, 1968",40,"gDGBD","Little Rabbit"
"Ken_2","Perlman, 1989",105,"gDGBD","Little Rabbit"
"Larry","Peterson, NA",25,"gDGBD","Little Rabbit"
"Wayne_2","Erbsen, 1995",63,"gCGCD","Little Rosewood Casket"
"Art_2","Rosenbaum, 1968",56,"dDGAD","Little Sadie"
"Ken_2","Perlman, 1989",87,"gDGCD","Little Sadie"
"Mel_Bay_2","Muller/Koehler, 1973",56,"gDGBD","Little Sadie"
"Wayne_1","Erbsen, 2004",55,"gCGCD#","Little Sadie"
"Mel_Bay_1","Schmitz/Slater, 1994",130,"gDGBD","Little Stack of Wheat"
"Ken_4","Perlman, 1996",19,"gCGCD","Liverpool Hornpipe, The"
"Dwight","Diller, Web",,"gDGBD","Liza Jane"
"Mel_Bay_1","Schmitz/Slater, 1994",52,"gDGBD","Liza Jane"
"Dan_1","Levenson, 2000",26,"gCGCD","Liza Poor Gal"
"Tim_2","Jumper, 1984",184,"gDGBD","Loch Lomond"
"Miles","Krassen, 1974",35,"gDGCD","Lonesome John"
"Art_2","Rosenbaum, 1968",70,"f#DF#AD","Lonesome Road Blues"
"Brad_1","Leftwich, 1999",42,"gDGBD","Lonesome Road Blues"
"Tim_2","Jumper, 1984",262,"gDGBD","Lonesome Valley"
"Tim_2","Jumper, 1984",124,"gDGBD","Long Journey Home"
