"Book ID","Citation","Title","Tuning","Page"
"MichaelMiles_1","Miles, 2006","Tom Dooley","gDGBD",2
"MichaelMiles_1","Miles, 2006",Skip To My Lou gDGBD,3
"MichaelMiles_1","Miles, 2006","Cripple Creek1","gDGBD",5
"MichaelMiles_1","Miles, 2006","Devils Dream1","gDGBD",6
"MichaelMiles_1","Miles, 2006","Michael Row the Boat Ashore","gDGBD",11
"MichaelMiles_1","Miles, 2006","Boil Them Cabbage Down",gDGBD,12
"MichaelMiles_1","Miles, 2006","Cripple Creek 11","gDGBD",13
"MichaelMiles_1","Miles, 2006","Will the Circle be Unbroken","gDGBD",14
"MichaelMiles_1","Miles, 2006","Devils Dream11","gDGBD",16
"MichaelMiles_1","Miles, 2006","Shady Grove","gDGCD",20
"MichaelMiles_1","Miles, 2006","Shady Grove (rhythm)","gDGCD",21
"MichaelMiles_1","Miles, 2006","West Virginia Girls","gDGCD",22
"MichaelMiles_1","Miles, 2006","Hancock Mountain","gDGCD",23
"MichaelMiles_1","Miles, 2006","The Blue Ridge Mountains (rhythm)","gDGBD",26
"MichaelMiles_1","Miles, 2006","Oh Susanna","gCGCE",28
"MichaelMiles_1","Miles, 2006","Cotton Fields","gCGCE",29
"MichaelMiles_1","Miles, 2006","Camptown Races","gCGCE",31
"MichaelMiles_1","Miles, 2006","Will the Circle be Unbroken 11","gDGBD",32
"MichaelMiles_1","Miles, 2006","Wabash Cannonball","gDGBD",33
"MichaelMiles_1","Miles, 2006","The Blue Ridge Mountains","gDGBD",35
"MichaelMiles_1","Miles, 2006","Cripple Creek 111","gDGBD",37
"MichaelMiles_1","Miles, 2006","Cripple Creek (rhythm)","gDGBD",38
"MichaelMiles_1","Miles, 2006","Old Joe Clark","gDGBD",39
"MichaelMiles_1","Miles, 2006","Red Haired Boy","gDGBD",42
"MichaelMiles_1","Miles, 2006","Soldiers Joy","gCGCD",43
"MichaelMiles_1","Miles, 2006","Wind That Shakes the Barley","gCGCD",45
"MichaelMiles_1","Miles, 2006","Chicago Song","gCGCD",46
"MichaelMiles_1","Miles, 2006","Goin Down the Road","gCGCE",49
"MichaelMiles_1","Miles, 2006","This Train","gCGCE",51
"MichaelMiles_1","Miles, 2006","Wabash Cannonball 11","gDGBD",54
"MichaelMiles_1","Miles, 2006","Salt Creek","gDGBD",55
"MichaelMiles_1","Miles, 2006","Double File","gDGBD",57
"MichaelMiles_1","Miles, 2006","Little Sadie","gDGCD",59
"MichaelMiles_1","Miles, 2006","Little Sadie (rhythm)","gDGCD",60
"MichaelMiles_1","Miles, 2006","Cluck Old Hen","gDGCD",61
"MichaelMiles_1","Miles, 2006","Blackstone","gDGCD",62
"MichaelMiles_1","Miles, 2006","Devils Dream111","gCGCD",63
"MichaelMiles_1","Miles, 2006","Greensleeves",gcgcEb,64
"MichaelMiles_1","Miles, 2006","Down Yonder","gCGCE",66
"MichaelMiles_1","Miles, 2006","Way Downtown","gCGCE",68
"MichaelMiles_1","Miles, 2006","Planxty Denis Oâ€™Conor","unknown",70
"MichaelMiles_1","Miles, 2006","Black Mountain Rag","gDGBD",72
